SalesOrderDetailID,SalesOrderID,ProductID,OrderQty,UnitPrice,UnitPriceDiscount
8,43659,714,3,28.8404,0
11,43659,712,2,5.1865,0
12,43659,711,4,20.1865,0
13,43660,762,1,419.4589,0
18,43661,712,4,5.1865,0
23,43661,711,2,20.1865,0
29,43661,708,5,20.1865,0
31,43662,770,5,419.4589,0
35,43662,762,5,419.4589,0
55,43664,714,1,28.8404,0
61,43665,711,2,20.1865,0
66,43665,712,2,5.1865,0
88,43668,711,2,20.1865,0
90,43668,712,4,5.1865,0
94,43668,770,2,419.4589,0
103,43668,762,4,419.4589,0
105,43668,714,4,28.8404,0
107,43668,708,1,20.1865,0
116,43671,714,2,28.8404,0
124,43671,711,1,20.1865,0
125,43671,708,1,20.1865,0
133,43673,762,1,419.4589,0
135,43673,770,2,419.4589,0
136,43673,712,1,5.1865,0
137,43673,708,2,20.1865,0
138,43673,711,1,20.1865,0
142,43675,711,5,20.1865,0
144,43675,708,1,20.1865,0
145,43675,762,2,419.4589,0
147,43675,712,2,5.1865,0
158,43677,770,1,419.4589,0
159,43677,708,2,20.1865,0
163,43677,712,5,5.1865,0
171,43678,762,3,419.4589,0
173,43678,712,3,5.1865,0
174,43678,708,4,20.1865,0
179,43678,770,1,419.4589,0
184,43678,711,3,20.1865,0
205,43681,762,5,419.4589,0
209,43681,708,2,20.1865,0
210,43681,770,3,419.4589,0
217,43681,714,2,28.8404,0
222,43681,711,2,20.1865,0
224,43681,712,2,5.1865,0
35579,51081,884,10,32.394,0
35581,51081,864,8,38.1,0
35582,51081,708,6,15.7455,0.15
35587,51081,714,6,29.994,0
35604,51081,711,6,15.7455,0.15
35605,51081,712,5,5.394,0
35610,51083,711,5,15.7455,0.15
35619,51083,712,5,5.394,0
35621,51083,708,3,15.7455,0.15
35624,51083,884,4,32.394,0
35630,51083,864,6,38.1,0
35659,51085,712,3,5.394,0
35664,51085,711,3,15.7455,0.15
35667,51085,884,6,32.394,0
35669,51085,864,5,38.1,0
35674,51085,714,1,29.994,0
35676,51085,708,1,15.7455,0.15
35789,51090,711,7,15.7455,0.15
35799,51090,884,16,29.6945,0.05
35811,51090,708,8,15.7455,0.15
35817,51090,714,15,27.4945,0.05
35819,51090,864,15,34.925,0.05
35826,51090,712,18,4.9445,0.05
35830,51091,864,2,38.1,0
35834,51091,708,4,15.7455,0.15
35836,51091,711,3,15.7455,0.15
35840,51091,712,3,5.394,0
35842,51091,884,2,32.394,0
